ID;Traditional;Simplified;Pinyin;Meaning
840;老（老王）;老（老王）;lǎo (Lǎo Wáng);old(Lao Wang)
841;老年;老年;lǎonián;elderly
842;老朋友;老朋友;lǎo péngyou;old friends
843;老是;老是;lǎoshì;always
844;離;离;lí;li
845;離開;离开;líkāi;leave
846;禮物;礼物;lǐwù;gift
847;裡頭;里头;lǐtou;inside
848;理想;理想;lǐxiǎng;ideal
849;例如;例如;lìrú;for example
850;例子;例子;lìzi;example
851;臉;脸;liǎn;face
852;練;练;liàn;practice
853;練習;练习;liànxí;practice
854;涼;凉;liáng;cool
855;涼快;凉快;liángkuai;cool
856;兩;两;liǎng;two
857;亮;亮;liàng;bright
858;輛;辆;liàng;vehicle
859;零下;零下;líng xià;below zero
860;留;留;liú;keep
861;留下;留下;liúxia;leave
862;留學生;留学生;liúxuéshēng;international students
863;流;流;liú;flow
864;流利;流利;liúlì;fluent
865;流行;流行;liúxíng;popularity
866;路邊;路边;lù biān;roadside
867;旅客;旅客;lǚkè;passengers
868;旅行;旅行;lǚxíng;travel
869;旅遊;旅游;lǚyóu;travel
870;綠;绿;lǜ;green
871;綠色;绿色;lǜsè;green
872;賣;卖;mài;sell
873;滿;满;mǎn;man
874;滿意;满意;mǎnyì;satisfied
875;貓;猫;māo;cat
876;米;米;mǐ;rice
877;面1;面1;miàn;page 1
878;面2;面2;miàn;page 2
879;面前;面前;miànqián;before
880;名;名;míng;name
881;名稱;名称;míngchēng;name
882;名單;名单;míngdān;list
883;明星;明星;míngxīng;star
884;目的;目的;mùdì;purpose
885;拿出;拿出;náchū;take out
886;拿到;拿到;nádào;get
887;那;那;nà;that
888;那會兒;那会儿;nàhuìr;back then
889;那麼;那么;nàme;so
890;那時候;那时候;nà shíhou;at that time
891;那樣;那样;nàyàng;that way
892;南方;南方;nánfāng;south
893;難過;难过;nánguò;sad
894;難看;难看;nánkàn;ugly
895;難受;难受;nánshòu;it's uncomfortable
896;難題;难题;nántí;difficulty
897;難聽;难听;nántīng;unpleasant to listen to
898;能夠;能够;nénggòu;able to
899;年級;年级;niánjí;grade
900;年輕;年轻;niánqīng;young
901;鳥;鸟;niǎo;bird
902;弄;弄;nòng;alley
903;努力;努力;nǔlì;effort
904;爬;爬;pá;climb
905;爬山;爬山;pá shān;climb mountains
906;怕;怕;pà;afraid
907;排;排;pái;row
908;排隊;排队;páiduì;queue up
909;排球;排球;páiqiú;volleyball
910;碰;碰;pèng;bump
911;碰到;碰到;pèngdào;bump into
912;碰見;碰见;pèngjiàn;encounter
913;篇;篇;piān;chapter
914;便宜;便宜;piányi;cheap
915;片;片;piàn;piece
916;漂亮;漂亮;piàoliang;pretty
917;平;平;píng;flat
918;平安;平安;píng'ān;safety
919;平常;平常;píngcháng;usually
920;平等;平等;píngděng;equality
921;平時;平时;píngshí;normal
922;瓶;瓶;píng;bottle
923;瓶子;瓶子;píngzi;bottle
924;普通;普通;pǔtōng;ordinary
925;普通話;普通话;pǔtōnghuà;mandarin
926;其他;其他;qítā;other
927;其中;其中;qízhōng;in
928;騎;骑;qí;cavalry
929;騎車;骑车;qí chē;cycling
930;起飛;起飞;qǐfēi;takeoff
931;氣;气;qì;qi
932;氣溫;气温;qìwēn;temperature
933;千;千;qiān;thousand
934;千克;千克;qiānkè;kilogram
935;前年;前年;qiánnián;the year before last
936;牆;墙;qiáng;wall
937;青年;青年;qīngnián;youth
938;青少年;青少年;qīng-shàonián;teenager
939;輕;轻;qīng;light
940;清楚;清楚;qīngchu;clear
941;晴;晴;qíng;clear
942;晴天;晴天;qíngtiān;sunny
943;請客;请客;qǐngkè;inviting guests
944;請求;请求;qǐngqiú;request
945;秋天;秋天;qiūtiān;autumn
946;求;求;qiú;beg
947;球場;球场;qiúchǎng;stadium
948;球隊;球队;qiúduì;team
949;球鞋;球鞋;qiúxié;sneakers
950;取;取;qǔ;pick
951;取得;取得;qǔdé;obtain
952;全;全;quán;complete
953;全部;全部;quánbù;all
954;全國;全国;quánguó;nationwide
955;全家;全家;quánjiā;the whole family
956;全年;全年;quánnián;annual
957;全身;全身;quánshēn;whole body
958;全體;全体;quántǐ;all
959;然後;然后;ránhòu;then
960;讓;让;ràng;let
961;熱情;热情;rèqíng;enthusiasm
962;人口;人口;rénkǒu;population
963;人們;人们;rénmen;people
964;人數;人数;rénshù;number of people
965;認為;认为;rènwéi;think
966;日報;日报;rìbào;daily
967;日子;日子;rìzi;day
968;如果;如果;rúguǒ;if
969;入口;入口;rùkǒu;entrance
970;商量;商量;shāngliang;discuss
971;商人;商人;shāngrén;merchant
972;上周;上周;shàng zhōu;last week
973;少數;少数;shǎoshù;minority
974;少年;少年;shàonián;juvenile
975;身邊;身边;shēnbiān;beside
976;什麼樣;什么样;shénmeyàng;what
977;生;生;shēng;born
978;生詞;生词;shēngcí;new words
979;生活;生活;shēnghuó;life
980;聲音;声音;shēngyīn;sound
981;省;省;shěng;province
982;省;省;shěng;province
983;十分;十分;shífēn;very
984;實際;实际;shíjì;in reality
985;實習;实习;shíxí;internship
986;實現;实现;shíxiàn;realize
987;實在;实在;shízài;really
988;實在;实在;shízai;really
989;食物;食物;shíwù;food
990;使用;使用;shǐyòng;use
991;市;市;shì;city
992;市長;市长;shìzhǎng;mayor
993;事情;事情;shìqing;matter
994;收;收;shōu;receive
995;收到;收到;shōudào;receive
996;收入;收入;shōurù;income
997;手錶;手表;shǒubiǎo;watch
998;受到;受到;shòudào;received
999;舒服;舒服;shūfu;comfortable
1000;熟;熟;shú/shóu;cooked
1001;數;数;shǔ;number
1002;數字;数字;shùzì;numbers
1003;水平;水平;shuǐpíng;level
1004;順利;顺利;shùnlì;smooth
1005;說明;说明;shuōmíng;instruction
1006;司機;司机;sījī;driver
1007;送到;送到;sòngdào;delivered to
1008;送給;送给;sòng gěi;give to
1009;算;算;suàn;calculate
1010;雖然;虽然;suīrán;although
1011;隨便;随便;suíbiàn;casual
1012;隨時;随时;suíshí;anytime
1013;所以;所以;suǒyǐ;so
1014;所有;所有;suǒyǒu;all
1015;它;它;tā;it
1016;它們;它们;tāmen;they
1017;太太;太太;tàitai;mrs
1018;太陽;太阳;tàiyáng;sun
1019;態度;态度;tàidù;attitude
1020;討論;讨论;tǎolùn;discuss
1021;套;套;tào;set
1022;特別;特别;tèbié;very
1023;特點;特点;tèdiǎn;features
1024;疼;疼;téng;pain
1025;提;提;tí;carry
1026;提出;提出;tíchū;propose
1027;提到;提到;tídào;mention
1028;提高;提高;tígāo;improve
1029;題;题;tí;question
1030;體育;体育;tǐyù;sports
1031;體育場;体育场;tǐyùchǎng;stadium
1032;體育館;体育馆;tǐyùguǎn;gymnasium
1033;天上;天上;tiānshàng;heaven
1034;條;条;tiáo;article
1035;條件;条件;tiáojiàn;condition
1036;聽講;听讲;tīngjiǎng;listening
1037;聽說;听说;tīngshuō;i heard
1038;停;停;tíng;stop
1039;停車;停车;tíngchē;parking
1040;停車場;停车场;tíngchēchǎng;parking lot
1041;挺;挺;tǐng;quite
1042;挺好;挺好;tǐng hǎo;good
1043;通;通;tōng;pass
1044;通過;通过;tōngguò;pass through
1045;通知;通知;tōngzhī;notify
1046;同時;同时;tóngshí;at the same time
1047;同事;同事;tóngshì;colleague
1048;同樣;同样;tóngyàng;the same
1049;頭;头;tóu;head
1050;頭（裡頭）;头（里头）;tou (lǐtou);inside (of the head)
1051;頭髮;头发;tóufa;hair
1052;圖片;图片;túpiàn;image
1053;推;推;tuī;push
1054;腿;腿;tuǐ;leg
1055;外地;外地;wàidì;out of town
1056;外賣;外卖;wàimài;takeout
1057;完;完;wán;over
1058;完成;完成;wánchéng;finish
1059;完全;完全;wánquán;completely
1060;晚安;晚安;wǎn'ān;good night
1061;晚報;晚报;wǎnbào;evening news
1062;晚餐;晚餐;wǎncān;dinner
1063;晚會;晚会;wǎnhuì;party
1064;碗;碗;wǎn;bowl
1065;萬;万;wàn;ten thousand
1066;網;网;wǎng;net
1067;網球;网球;wǎngqiú;tennis
1068;網站;网站;wǎngzhàn;website
1069;往;往;wǎng;past
1070;為;为;wèi;for
1071;為什麼;为什么;wèi shénme;why
1072;位;位;wèi;bit
1073;味道;味道;wèidào;smell
1074;喂;喂;wèi;hello
1075;溫度;温度;wēndù;temperature
1076;聞;闻;wén;hear
1077;問路;问路;wènlù;asking for directions
1078;問題;问题;wèntí;problem
1079;午餐;午餐;wǔcān;lunch
1080;午睡;午睡;wǔshuì;afternoon nap
1081;西北;西北;xīběi;northwest
1082;西餐;西餐;xīcān;western food
1083;西方;西方;xīfāng;the west
1084;西南;西南;xīnán;southwest
1085;西醫;西医;xīyī;western medicine
1086;習慣;习惯;xíguàn;habit
1087;洗衣機;洗衣机;xǐyījī;washing machine
1088;洗澡;洗澡;xǐzǎo;bath
1089;下;下;xià;down
1090;下雪;下雪;xià xuě;snow
1091;下週;下周;xià zhōu;next week
1092;夏天;夏天;xiàtiān;summer
1093;相同;相同;xiāngtóng;same
1094;相信;相信;xiāngxìn;believe
1095;響;响;xiǎng;hibiki
1096;想到;想到;xiǎngdào;think
1097;想法;想法;xiǎngfǎ;idea
1098;想起;想起;xiǎngqǐ;think
1099;向;向;xiàng;towards
1100;相機;相机;xiàngjī;camera
1101;像;像;xiàng;picture
1102;小（小王）;小（小王）;xiǎo (Xiǎo Wáng);xiao (Xiǎo Wang)
1103;小聲;小声;xiǎo shēng;whisper
1104;小時候;小时候;xiǎoshíhou;when i was a child
1105;小說;小说;xiǎoshuō;novels
1106;小心;小心;xiǎoxīn;careful
1107;小組;小组;xiǎozǔ;group
1108;校園;校园;xiàoyuán;campus
1109;校長;校长;xiàozhǎng;headmaster
1110;笑話;笑话;xiàohua;joke
1111;笑話兒;笑话儿;xiàohuar;joke
1112;鞋;鞋;xié;shoe
1113;心裡;心里;xīnlǐ;in my heart
1114;心情;心情;xīnqíng;feeling
1115;心中;心中;xīnzhōng;in my heart
1116;新聞;新闻;xīnwén;news
1117;信;信;xìn;letter
1118;信號;信号;xìnhào;signal
1119;信息;信息;xìnxī;information
1120;信心;信心;xìnxīn;confidence
1121;信用卡;信用卡;xìnyòngkǎ;credit card
1122;星星;星星;xīngxing;star
1123;行動;行动;xíngdòng;action
1124;行人;行人;xíngrén;pedestrian
1125;行為;行为;xíngwéi;behavior
1126;姓;姓;xìng;surname
1127;姓名;姓名;xìngmíng;name
1128;休假;休假;xiūjià;take a vacation
1129;許多;许多;xǔduō;many
1130;選;选;xuǎn;select
1131;學期;学期;xuéqī;semester
1132;雪;雪;xuě;snow
1133;顏色;颜色;yánsè;color
1134;眼;眼;yǎn;eye
1135;眼睛;眼睛;yǎnjing;eye
1136;養;养;yǎng;nurture
1137;樣子;样子;yàngzi;appearance
1138;要求;要求;yāoqiú;require
1139;藥;药;yào;medicine
1140;藥店;药店;yàodiàn;pharmacy
1141;藥片;药片;yàopiàn;pills
1142;藥水;药水;yàoshuǐ;medicine
1143;也許;也许;yěxǔ;maybe
1144;夜;夜;yè;night
1145;夜裡;夜里;yèlǐ;at night
1146;一部分;一部分;yī bùfen;part
1147;一定;一定;yīdìng;must
1148;一共;一共;yīgòng;total
1149;一會兒;一会儿;yīhuìr;a while
1150;一路平安;一路平安;yīlù-píng'ān;have a safe journey
1151;一路順風;一路顺风;yīlù-shùnfēng;have a safe trip
1152;已經;已经;yǐjīng;already
1153;以後;以后;yǐhòu;in the future
1154;以前;以前;yǐqián;before
1155;以上;以上;yǐshàng;above
1156;以外;以外;yǐwài;outside
1157;以為;以为;yǐwéi;i thought
1158;以下;以下;yǐxià;the following
1159;椅子;椅子;yǐzi;chair
1160;一般;一般;yībān;generally
1161;一點點;一点点;yī diǎndiǎn;a little bit
1162;一生;一生;yīshēng;lifetime
1163;一直;一直;yīzhí;always
1164;億;亿;yì;billion
1165;意見;意见;yìjiàn;opinion
1166;意思;意思;yìsi;mean
1167;因為;因为;yīnwèi;because
1168;陰;阴;yīn;yin
1169;陰天;阴天;yīntiān;cloudy
1170;音節;音节;yīnjié;syllables
1171;音樂;音乐;yīnyuè;music
1172;音樂會;音乐会;yīnyuèhuì;concert
1173;銀行;银行;yínháng;bank
1174;銀行卡;银行卡;yínhángkǎ;bank card
1175;應該;应该;yīnggāi;should
1176;英文;英文;Yīngwén;english
1177;英語;英语;Yīngyǔ;english
1178;影片;影片;yǐngpiàn;film
1179;影響;影响;yǐngxiǎng;influence
1180;永遠;永远;yǒngyuǎn;forever
1181;油;油;yóu;oil
1182;遊客;游客;yóukè;tourists
1183;友好;友好;yǒuhǎo;friendly
1184;有空兒;有空儿;yǒukòngr;when you have time
1185;有人;有人;yǒu rén;someone
1186;有（一）點兒;有（一）点儿;yǒu(yī)diǎnr;a little bit
1187;有意思;有意思;yǒu yìsi;interesting
1188;又;又;yòu;again
1189;魚;鱼;yú;fish
1190;語言;语言;yǔyán;language
1191;原來;原来;yuánlái;original
1192;原因;原因;yuányīn;reason
1193;院;院;yuàn;hospital
1194;院長;院长;yuànzhǎng;dean
1195;院子;院子;yuànzi;courtyard
1196;願意;愿意;yuànyì;willing
1197;月份;月份;yuèfèn;month
1198;月亮;月亮;yuèliang;moon
1199;越;越;yuè;cross
1200;越來越;越来越;yuè lái yuè;more and more
1201;雲;云;yún;cloud
1202;運動;运动;yùndòng;sports
1203;咱;咱;zán;we
1204;咱們;咱们;zánmen;us
1205;髒;脏;zāng;dirty
1206;早餐;早餐;zǎocān;breakfast
1207;早晨;早晨;zǎochen;morning
1208;早就;早就;zǎo jiù;long ago
1209;怎麼辦;怎么办;zěnme bàn;what to do?
1210;怎麼樣;怎么样;zěnmeyàng;how is it?
1211;怎樣;怎样;zěnyàng;how
1212;占;占;zhàn;occupy
1213;站;站;zhàn;stand
1214;站住;站住;zhànzhù;stop
1215;長;长;zhǎng;long
1216;長大;长大;zhǎngdà;growing up
1217;找出;找出;zhǎochū;find
1218;照顧;照顾;zhàogù;take care of
1219;照片;照片;zhàopiàn;photo
1220;照相;照相;zhàoxiàng;photography
1221;這麼;这么;zhème;so
1222;這時候;这时候;zhè shíhou;at this time
1223;這樣;这样;zhèyàng;this way
1224;真正;真正;zhēnzhèng;real
1225;正常;正常;zhèngcháng;normal
1226;正好;正好;zhènghǎo;just right
1227;正確;正确;zhèngquè;correct
1228;正是;正是;zhèngshì;that's right
1229;直接;直接;zhíjiē;direct
1230;只;只;zhǐ;only
1231;只能;只能;zhǐ néng;only
1232;只要;只要;zhǐyào;if only
1233;紙;纸;zhǐ;paper
1234;中餐;中餐;zhōngcān;chinese food
1235;中級;中级;zhōngjí;intermediate
1236;中年;中年;zhōngnián;middle aged
1237;中小學;中小学;zhōng-xiǎoxué;primary and secondary schools
1238;中心;中心;zhōngxīn;center
1239;中醫;中医;zhōngyī;traditional chinese medicine
1240;重點;重点;zhòngdiǎn;key points
1241;重視;重视;zhòngshì;attach great importance to
1242;週;周;zhōu;week
1243;週末;周末;zhōumò;weekend
1244;週年;周年;zhōunián;anniversary
1245;主人;主人;zhǔrén;owner
1246;主要;主要;zhǔyào;main
1247;住房;住房;zhùfáng;housing
1248;住院;住院;zhùyuàn;hospitalization
1249;裝;装;zhuāng;pack
1250;準確;准确;zhǔnquè;accurate
1251;自己;自己;zìjǐ;own
1252;自行車;自行车;zìxíngchē;bicycle
1253;自由;自由;zìyóu;free
1254;字典;字典;zìdiǎn;dictionary
1255;走過;走过;zǒuguò;walked by
1256;走進;走进;zǒujìn;enter
1257;走開;走开;zǒukāi;go away
1258;租;租;zū;rent
1259;組;组;zǔ;group
1260;組成;组成;zǔchéng;composition
1261;組長;组长;zǔzhǎng;team leader
1262;嘴;嘴;zuǐ;mouth
1263;最近;最近;zuìjìn;recent
1264;作家;作家;zuòjiā;writer
1265;作文;作文;zuòwén;composition
1266;作業;作业;zuòyè;homework
1267;作用;作用;zuòyòng;effect
1268;座;座;zuò;seat
1269;座位;座位;zuòwèi;seat
1270;做到;做到;zuòdào;do
1271;做法;做法;zuòfǎ;practice
1272;做飯;做饭;zuòfàn;cooking
1273;愛心;爱心;àixīn;love
1274;安排;安排;ānpái;arrange
1275;安裝;安装;ānzhuāng;install
1276;按;按;àn;according to
1277;按照;按照;ànzhào;according to
1278;把;把;bǎ;bundle
1279;把;把;bǎ;bundle
1280;把握;把握;bǎwò;grasp
1281;白;白;bái;white
1282;白菜;白菜;báicài;chinese cabbage
1283;班級;班级;bānjí;class
1284;搬;搬;bān;move
1285;搬家;搬家;bānjiā;move place
1286;板;板;bǎn;plate
1287;辦理;办理;bànlǐ;processing
1288;保;保;bǎo;save
1289;保安;保安;bǎo'ān;security guard
1290;保持;保持;bǎochí;keep
1291;保存;保存;bǎocún;save
1292;保護;保护;bǎohù;protect
1293;保留;保留;bǎoliú;reserve
1294;保險;保险;bǎoxiǎn;insurance
1295;保證;保证;bǎozhèng;guarantee
1296;報;报;bào;report
1297;報到;报到;bàodào;check-in
1298;報道;报道;bàodào;report
1299;報告;报告;bàogào;report
1300;背;背;bēi;back
1301;北部;北部;běibù;north
1302;背;背;bèi;back
1303;背後;背后;bèihòu;behind
1304;被;被;bèi;quilt
1305;被子;被子;bèizi;quilt
1306;本來;本来;běnlái;originally
1307;本領;本领;běnlǐng;skills
1308;本事;本事;běnshi;ability
1309;比較;比较;bǐjiào;compare
1310;比例;比例;bǐlì;proportion
1311;比賽;比赛;bǐsài;competition
1312;必然;必然;bìrán;inevitable
1313;必要;必要;bìyào;necessary
1314;變化;变化;biànhuà;change
1315;變為;变为;biànwéi;become
1316;標題;标题;biāotí;title
1317;標準;标准;biāozhǔn;standard
1318;表達;表达;biǎodá;express
1319;表格;表格;biǎogé;sheet
1320;表面;表面;biǎomiàn;surface
1321;表明;表明;biǎomíng;show
1322;表現;表现;biǎoxiàn;performance
1323;表演;表演;biǎoyǎn;performance
1324;並;并;bìng;and
1325;並且;并且;bìngqiě;and
1326;播出;播出;bōchū;broadcast
1327;播放;播放;bōfàng;play
1328;不必;不必;bùbì;no need
1329;不斷;不断;bùduàn;continuously
1330;不論;不论;bùlùn;regardless
1331;補;补;bǔ;supplement
1332;補充;补充;bǔchōng;add
1333;不安;不安;bù'ān;disturbed
1334;不得不;不得不;bùdébù;have to
1335;不光;不光;bùguāng;not only
1336;不僅;不仅;bùjǐn;not only
1337;布;布;bù;cloth
1338;步;步;bù;step
1339;部;部;bù;department
1340;部門;部门;bùmén;department
1341;部長;部长;bùzhǎng;minister
1342;才能;才能;cáinéng;talent
1343;採取;采取;cǎiqǔ;take
1344;採用;采用;cǎiyòng;adopt
1345;彩色;彩色;cǎisè;color
1346;曾經;曾经;céngjīng;once
1347;產生;产生;chǎnshēng;generate
1348;長城;长城;Chángchéng;great wall
1349;長處;长处;chángchù;strengths
1350;長期;长期;chángqī;long-term
1351;廠;厂;chǎng;factory
1352;場合;场合;chǎnghé;occasion
1353;場所;场所;chǎngsuǒ;place
1354;超級;超级;chāojí;super
1355;朝;朝;cháo;towards
1356;吵;吵;chǎo;quarrel
1357;吵架;吵架;chǎojià;quarrel
1358;襯衫;衬衫;chènshān;shirt
1359;襯衣;衬衣;chènyī;shirt
1360;稱為;称为;chēngwéi;called
1361;成功;成功;chénggōng;success
1362;成果;成果;chéngguǒ;results
1363;成就;成就;chéngjiù;achievement
1364;成立;成立;chénglì;established
1365;成熟;成熟;chéngshú;mature
1366;成員;成员;chéngyuán;members
1367;成長;成长;chéngzhǎng;growth
1368;城;城;chéng;city
1369;城市;城市;chéngshì;city
1370;程度;程度;chéngdù;degree
1371;持續;持续;chíxù;ongoing
1372;充滿;充满;chōngmǎn;full of
1373;重;重;chóng;heavy
1374;初;初;chū;early
1375;初（初一）;初（初一）;chū (chūyī);first year of junior high school
